| Name                     | Version     | License                              | URL                                                                        |
|--------------------------|-------------|--------------------------------------|----------------------------------------------------------------------------|
| Faker                    | 33.1.0      | MIT License                          | https://github.com/joke2k/faker                                            |
| PyYAML                   | 6.0.2       | MIT License                          | https://pyyaml.org/                                                        |
| cachetools               | 5.5.0       | MIT License                          | https://github.com/tkem/cachetools/                                        |
| certifi                  | 2024.8.30   | Mozilla Public License 2.0 (MPL 2.0) | https://github.com/certifi/python-certifi                                  |
| charset-normalizer       | 3.4.0       | MIT License                          | https://github.com/Ousret/charset_normalizer                               |
| contourpy                | 1.3.1       | BSD License                          | https://github.com/contourpy/contourpy                                     |
| cycler                   | 0.12.1      | BSD License                          | https://matplotlib.org/cycler/                                             |
| fonttools                | 4.55.1      | MIT License                          | http://github.com/fonttools/fonttools                                      |
| google-api-core          | 2.24.0      | Apache Software License              | https://github.com/googleapis/python-api-core                              |
| google-api-python-client | 2.154.0     | Apache Software License              | https://github.com/googleapis/google-api-python-client/                    |
| google-auth              | 2.37.0      | Apache Software License              | https://github.com/googleapis/google-auth-library-python                   |
| google-auth-httplib2     | 0.2.0       | Apache Software License              | https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2 |
| googleapis-common-protos | 1.66.0      | Apache Software License              | https://github.com/googleapis/python-api-common-protos                     |
| httplib2                 | 0.22.0      | MIT License                          | https://github.com/httplib2/httplib2                                       |
| idna                     | 3.10        | BSD License                          | https://github.com/kjd/idna                                                |
| joblib                   | 1.4.2       | BSD License                          | https://joblib.readthedocs.io                                              |
| kiwisolver               | 1.4.7       | BSD License                          | https://github.com/nucleic/kiwi                                            |
| matplotlib               | 3.9.3       | Python Software Foundation License   | https://matplotlib.org                                                     |
| numpy                    | 1.26.4      | BSD License                          | https://numpy.org                                                          |
| packaging                | 24.2        | Apache Software License; BSD License | https://github.com/pypa/packaging                                          |
| pandas                   | 2.2.3       | BSD License                          | https://pandas.pydata.org                                                  |
| pi                       | 0.1.2       | MIT License                          | https://github.com/chbrown/pi                                              |
| pillow                   | 11.0.0      | CMU License (MIT-CMU)                | https://python-pillow.org                                                  |
| pip                      | 24.3.1      | MIT License                          | https://pip.pypa.io/                                                       |
| pip-licenses             | 5.0.0       | MIT License                          | https://github.com/raimon49/pip-licenses                                   |
| prettytable              | 3.12.0      | BSD License                          | https://github.com/prettytable/prettytable                                 |
| proto-plus               | 1.25.0      | Apache Software License              | https://github.com/googleapis/proto-plus-python.git                        |
| protobuf                 | 5.29.1      | 3-Clause BSD License                 | https://developers.google.com/protocol-buffers/                            |
| pyasn1                   | 0.6.1       | BSD License                          | https://github.com/pyasn1/pyasn1                                           |
| pyasn1_modules           | 0.4.1       | BSD License                          | https://github.com/pyasn1/pyasn1-modules                                   |
| pyparsing                | 3.2.0       | MIT License                          | https://github.com/pyparsing/pyparsing/                                    |
| python-dateutil          | 2.9.0.post0 | Apache Software License; BSD License | https://github.com/dateutil/dateutil                                       |
| python-i18n              | 0.3.9       | MIT License                          | https://github.com/tuvistavie/python-i18n                                  |
| pytz                     | 2024.2      | MIT License                          | http://pythonhosted.org/pytz                                               |
| requests                 | 2.32.3      | Apache Software License              | https://requests.readthedocs.io                                            |
| rsa                      | 4.9         | Apache Software License              | https://stuvel.eu/rsa                                                      |
| scikit-learn             | 1.5.2       | BSD License                          | https://scikit-learn.org                                                   |
| scipy                    | 1.14.1      | BSD License                          | https://scipy.org/                                                         |
| setuptools               | 65.5.0      | MIT License                          | https://github.com/pypa/setuptools                                         |
| six                      | 1.17.0      | MIT License                          | https://github.com/benjaminp/six                                           |
| threadpoolctl            | 3.5.0       | BSD License                          | https://github.com/joblib/threadpoolctl                                    |
| tomli                    | 2.2.1       | MIT License                          | https://github.com/hukkin/tomli                                            |
| typing_extensions        | 4.12.2      | Python Software Foundation License   | https://github.com/python/typing_extensions                                |
| tzdata                   | 2024.2      | Apache Software License              | https://github.com/python/tzdata                                           |
| uritemplate              | 4.1.1       | Apache Software License; BSD License | https://uritemplate.readthedocs.org                                        |
| urllib3                  | 2.2.3       | MIT License                          | https://github.com/urllib3/urllib3/blob/main/CHANGES.rst                   |
| wcwidth                  | 0.2.13      | MIT License                          | https://github.com/jquast/wcwidth                                          |
